id,name,email,phone,password_hash,role,status,created_at,updated_at
usr-001,Budi Santoso,budi.santoso@gmail.com,081234567001,$2a$10$kXBhIEuIVcJQqBbHUq6oPuLpxNJCv4j8PalGwUh4E5e8pnVMEWNKe,USER,ACTIVE,2026-07-01 08:00:00+07,2026-07-01 08:00:00+07
usr-002,Siti Rahayu,siti.rahayu@gmail.com,081234567002,$2a$10$kXBhIEuIVcJQqBbHUq6oPuLpxNJCv4j8PalGwUh4E5e8pnVMEWNKe,USER,ACTIVE,2026-07-03 09:15:00+07,2026-07-03 09:15:00+07
usr-003,Andi Wijaya,andi.wijaya@gmail.com,081234567003,$2a$10$kXBhIEuIVcJQqBbHUq6oPuLpxNJCv4j8PalGwUh4E5e8pnVMEWNKe,USER,ACTIVE,2026-07-05 10:30:00+07,2026-07-05 10:30:00+07
usr-004,Dewi Lestari,dewi.lestari@yahoo.com,081234567004,$2a$10$kXBhIEuIVcJQqBbHUq6oPuLpxNJCv4j8PalGwUh4E5e8pnVMEWNKe,USER,ACTIVE,2026-07-07 11:45:00+07,2026-07-07 11:45:00+07
usr-005,Rizky Pratama,rizky.pratama@gmail.com,081234567005,$2a$10$kXBhIEuIVcJQqBbHUq6oPuLpxNJCv4j8PalGwUh4E5e8pnVMEWNKe,USER,ACTIVE,2026-07-10 13:00:00+07,2026-07-10 13:00:00+07
usr-006,Nurul Hidayah,nurul.hidayah@gmail.com,081234567006,$2a$10$kXBhIEuIVcJQqBbHUq6oPuLpxNJCv4j8PalGwUh4E5e8pnVMEWNKe,USER,ACTIVE,2026-07-12 14:20:00+07,2026-07-12 14:20:00+07
usr-007,Fajar Setiawan,fajar.setiawan@gmail.com,081234567007,$2a$10$kXBhIEuIVcJQqBbHUq6oPuLpxNJCv4j8PalGwUh4E5e8pnVMEWNKe,USER,ACTIVE,2026-07-15 15:30:00+07,2026-07-15 15:30:00+07
usr-008,Maya Putri,maya.putri@gmail.com,081234567008,$2a$10$kXBhIEuIVcJQqBbHUq6oPuLpxNJCv4j8PalGwUh4E5e8pnVMEWNKe,USER,ACTIVE,2026-07-18 08:00:00+07,2026-07-18 08:00:00+07
usr-009,Hendra Gunawan,hendra.gunawan@gmail.com,081234567009,$2a$10$kXBhIEuIVcJQqBbHUq6oPuLpxNJCv4j8PalGwUh4E5e8pnVMEWNKe,USER,ACTIVE,2026-07-20 09:30:00+07,2026-07-20 09:30:00+07
usr-010,Linda Susanti,linda.susanti@gmail.com,081234567010,$2a$10$kXBhIEuIVcJQqBbHUq6oPuLpxNJCv4j8PalGwUh4E5e8pnVMEWNKe,USER,ACTIVE,2026-07-22 10:00:00+07,2026-07-22 10:00:00+07
usr-admin,Admin EV Charger,admin@evcharger.id,081200000000,$2a$10$kXBhIEuIVcJQqBbHUq6oPuLpxNJCv4j8PalGwUh4E5e8pnVMEWNKe,ADMIN,ACTIVE,2026-06-01 07:00:00+07,2026-06-01 07:00:00+07
